City,Team,Conference,Win,Loss,PointsFor,PassAtt,PassYards,PassTD,RushAtt,RushYards,RushTD,YPC,YBC,YBCPC,SacksAllowed,Pressured,RunVsPass,gradeOL,gradeQB,gradeRB,isRunningScheme,isPassingScheme,isMixScheme,PointsAllowed,YardsAllowed,Turnovers,Sacks,Pressure,3DAtt,3DConversion,3DCP
Kansas City,Chiefs,AFC West,14,3,496,651,5250,41,417,1970,18,4.72,1334,3.20,26,140,0.64,71.12,91.3,74.6,0,1,0,369,5579,20,55,178,216,85,0.39
Las Vegas,Raiders,AFC West,5,12,287,586,4182,28,428,2059,12,4.81,1146,2.68,35,131,0.73,65.9,71.4,91.6,0,1,0,418,6216,13,27,124,221,86,0.39
Los Angeles,Chargers,AFC West,10,7,391,711,4791,26,404,1524,15,3.77,902,2.23,39,162,0.57,70.28,78.6,81.4,0,1,0,384,5884,24,40,113,206,86,0.42
Los Angeles,Rams,NFC West,5,12,307,531,3506,16,411,1661,15,4.04,966,2.35,59,162,0.77,66.4,67,80.7,0,0,1,384,5798,22,38,111,223,86,0.39
Miami,Dolphins,AFC East,9,8,397,584,4765,30,390,1686,12,4.32,1031,2.64,35,159,0.67,65.42,81.9,75.7,0,1,0,399,5743,14,40,152,203,87,0.43
Minnesota,Vikings,NFC North,13,4,424,672,4818,30,404,1661,18,4.11,1000,2.48,47,171,0.60,74.76,77.4,71.3,0,1,0,427,6608,25,38,135,236,87,0.37
New England,Patriots,AFC East,8,9,364,540,3815,19,425,1812,12,4.26,1139,2.68,41,110,0.79,68.02,67.5,81.3,0,0,1,347,5474,30,54,163,231,87,0.38
New Orleans,Saints,NFC South,7,10,330,512,3969,24,465,1982,12,4.26,1117,2.40,38,97,0.91,63.98,66.6,72.7,1,0,0,345,5352,14,48,106,204,92,0.45
New York,Jets,AFC East,7,10,296,627,4040,15,405,1686,13,4.16,1182,2.92,42,160,0.65,64.74,77.5,67.4,0,1,0,316,5288,16,45,160,231,95,0.41
New York,Giants,NFC East,9,7,365,520,3431,17,520,2519,21,4.84,1657,3.19,49,161,1.00,62.5,76,77.2,1,0,0,371,6089,19,41,155,244,93,0.38
Philadelphia,Eagles,NFC East,14,3,477,536,4040,25,544,2509,32,4.61,1817,3.34,44,111,1.01,75.08,85.9,70.2,1,0,0,344,5125,27,70,168,220,95,0.43
Pittsburg,Steelers,AFC North,9,8,308,571,4364,12,500,2073,16,4.15,1331,2.66,38,124,0.88,68.08,75.5,73.5,0,0,1,346,5617,23,40,108,227,96,0.42
San Fransisco,49ers,NFC West,13,4,450,512,3661,30,504,2360,20,4.68,1471,2.92,31,90,0.98,67.9,76.6,88.9,1,0,0,277,5110,30,44,152,241,97,0.40
Seattle,Seahawks,NFC West,9,8,407,573,4282,30,425,2042,12,4.80,1298,3.05,46,147,0.74,65.18,79.8,76.7,0,1,0,401,6149,25,45,130,233,97,0.42
Tampa Bay,Buccaneers,NFC South,8,9,313,751,4746,26,386,1308,5,3.39,825,2.14,22,102,0.51,64.14,50.6,66.4,0,1,0,358,5513,20,45,141,233,97,0.42
Tennesse,Titans,AFC South,7,10,298,456,3227,16,487,2131,16,4.38,1136,2.33,49,146,1.07,63.82,74.9,85.9,1,0,0,359,5978,20,39,156,204,100,0.49
Washington,Commanders,NFC East,8,8,321,554,3783,24,538,2143,9,3.98,1272,2.36,48,155,0.97,67.32,68.5,82.5,1,0,0,343,5178,18,43,137,220,101,0.46
